Start playing!
Ep. 277, Ep.Timesteps 1600, Episode Reward: -98.29, Moving Average Reward: -103.81
Ep. 278, Ep.Timesteps 1600, Episode Reward: -99.40, Moving Average Reward: -103.70
Ep. 279, Ep.Timesteps 1600, Episode Reward: -100.13, Moving Average Reward: -103.61
Ep. 280, Ep.Timesteps 1600, Episode Reward: -99.51, Moving Average Reward: -103.51
Ep. 281, Ep.Timesteps 1600, Episode Reward: -101.31, Moving Average Reward: -103.42
Ep. 282, Ep.Timesteps 1600, Episode Reward: -101.38, Moving Average Reward: -103.34
Ep. 283, Ep.Timesteps 1600, Episode Reward: -101.09, Moving Average Reward: -103.26
Ep. 284, Ep.Timesteps 1600, Episode Reward: -100.65, Moving Average Reward: -103.18
Ep. 285, Ep.Timesteps 1600, Episode Reward: -101.81, Moving Average Reward: -103.14
Ep. 286, Ep.Timesteps 1600, Episode Reward: -100.12, Moving Average Reward: -103.03
Ep. 287, Ep.Timesteps 1600, Episode Reward: -99.33, Moving Average Reward: -102.93
Ep. 288, Ep.Timesteps 1600, Episode Reward: -99.08, Moving Average Reward: -102.79
Ep. 289, Ep.Timesteps 1600, Episode Reward: -100.57, Moving Average Reward: -102.70
Ep. 290, Ep.Timesteps 1600, Episode Reward: -98.45, Moving Average Reward: -102.61
Ep. 291, Ep.Timesteps 1600, Episode Reward: -101.05, Moving Average Reward: -102.53
Ep. 292, Ep.Timesteps 1600, Episode Reward: -99.13, Moving Average Reward: -102.44
Ep. 293, Ep.Timesteps 1600, Episode Reward: -98.45, Moving Average Reward: -102.35
Ep. 294, Ep.Timesteps 1600, Episode Reward: -98.32, Moving Average Reward: -102.29
Ep. 295, Ep.Timesteps 1600, Episode Reward: -97.24, Moving Average Reward: -102.16
Ep. 296, Ep.Timesteps 1600, Episode Reward: -97.46, Moving Average Reward: -102.04
Ep. 297, Ep.Timesteps 1600, Episode Reward: -98.27, Moving Average Reward: -101.91
Ep. 298, Ep.Timesteps 1600, Episode Reward: -96.31, Moving Average Reward: -101.72
Ep. 299, Ep.Timesteps 1600, Episode Reward: -97.50, Moving Average Reward: -101.60
Ep. 300, Ep.Timesteps 1600, Episode Reward: -95.27, Moving Average Reward: -101.40
Ep. 301, Ep.Timesteps 1600, Episode Reward: -85.68, Moving Average Reward: -101.01
Ep. 302, Ep.Timesteps 1600, Episode Reward: -92.64, Moving Average Reward: -100.77
Ep. 303, Ep.Timesteps 1600, Episode Reward: -91.97, Moving Average Reward: -100.50
Ep. 304, Ep.Timesteps 1600, Episode Reward: -88.65, Moving Average Reward: -100.13
Ep. 305, Ep.Timesteps 1600, Episode Reward: -92.11, Moving Average Reward: -99.84
Ep. 306, Ep.Timesteps 1600, Episode Reward: -93.10, Moving Average Reward: -99.59
Ep. 307, Ep.Timesteps 1600, Episode Reward: -93.40, Moving Average Reward: -99.34
Ep. 308, Ep.Timesteps 1600, Episode Reward: -91.66, Moving Average Reward: -99.05
Ep. 309, Ep.Timesteps 1600, Episode Reward: -91.78, Moving Average Reward: -98.82
Ep. 310, Ep.Timesteps 1600, Episode Reward: -84.01, Moving Average Reward: -98.41
Ep. 311, Ep.Timesteps 1600, Episode Reward: -94.01, Moving Average Reward: -98.22
Ep. 312, Ep.Timesteps 1600, Episode Reward: -93.05, Moving Average Reward: -97.97
Ep. 313, Ep.Timesteps 1600, Episode Reward: -92.59, Moving Average Reward: -97.66
Ep. 314, Ep.Timesteps 1600, Episode Reward: -92.86, Moving Average Reward: -97.43
Ep. 315, Ep.Timesteps 1600, Episode Reward: -91.08, Moving Average Reward: -97.15
Ep. 316, Ep.Timesteps 1600, Episode Reward: -91.76, Moving Average Reward: -96.93
Ep. 317, Ep.Timesteps 1600, Episode Reward: -90.69, Moving Average Reward: -96.69
Ep. 318, Ep.Timesteps 1600, Episode Reward: -92.17, Moving Average Reward: -96.48
Ep. 319, Ep.Timesteps 1600, Episode Reward: -91.32, Moving Average Reward: -96.29
Ep. 320, Ep.Timesteps 1600, Episode Reward: -93.88, Moving Average Reward: -96.16
Ep. 321, Ep.Timesteps 1600, Episode Reward: -93.36, Moving Average Reward: -96.03
