Start playing!
Ep. 180, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 181, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 182, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 183, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.90
Ep. 184, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 185, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 186, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 187, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 188, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 189, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 190, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 191, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 192, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 193, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 194, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 195, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 196, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 197, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 198, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 199, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 200, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 201, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 202, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 203, Ep.Timesteps 100, Episode Reward: -98.00, Moving Average Reward: -99.92
Ep. 204, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 205, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 206, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 207, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 208, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 209, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 210, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 211, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 212, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 213, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 214, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 215, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 216, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 217, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 218, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 219, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 220, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 221, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 222, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.92
Ep. 223, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 224, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 225, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 226, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 227, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.96
Ep. 228, Ep.Timesteps 100, Episode Reward: -99.00, Moving Average Reward: -99.94
Ep. 229, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 230, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 231, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 232, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 233, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 234, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 235, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 236, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 237, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 238, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 239, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
Ep. 240, Ep.Timesteps 100, Episode Reward: -100.00, Moving Average Reward: -99.94
