time/time_elapsed,train/critic_loss,train/learning_rate,train/actor_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,rollout/ep_len_mean,rollout/success_rate
396,0.23254748106002807,0.001,-35.03553504943848,92,368,-74.92,36600,36800,100.0,0.24
400,0.22243133828043937,0.001,-34.8847820854187,92,372,-74.46,37000,37200,100.0,0.25
404,0.22743572771549225,0.001,-34.408812885284426,92,376,-73.48,37400,37600,100.0,0.26
408,0.2507342095673084,0.001,-34.63057315826416,92,380,-73.46,37800,38000,100.0,0.26
412,0.26851942867040635,0.001,-34.411381244659424,92,384,-73.74,38200,38400,100.0,0.26
417,0.23641344130039216,0.001,-33.899370994567875,93,388,-75.17,38600,38800,100.0,0.24
421,0.21956307657063007,0.001,-33.683376960754394,93,392,-76.15,39000,39200,100.0,0.23
425,0.22298409372568131,0.001,-33.66941604614258,93,396,-75.18,39400,39600,100.0,0.24
429,0.244197883233428,0.001,-33.27528848648071,93,400,-73.29,39800,40000,100.0,0.26
433,0.17936283878982068,0.001,-32.7379436302185,93,404,-72.21,40200,40400,100.0,0.27
438,0.20686763644218445,0.001,-33.05051406860352,93,408,-72.3,40600,40800,100.0,0.27
442,0.21310981705784798,0.001,-32.448271865844724,93,412,-73.26,41000,41200,100.0,0.26
446,0.20657429449260234,0.001,-32.33494234085083,93,416,-71.7,41400,41600,100.0,0.28
451,0.23610554777085782,0.001,-31.85042221069336,93,420,-71.66,41800,42000,100.0,0.28
455,0.19474064856767653,0.001,-31.78032386779785,93,424,-71.37,42200,42400,100.0,0.28
459,0.24567771323025225,0.001,-31.816265869140626,93,428,-72.3,42600,42800,100.0,0.27
463,0.20429327636957167,0.001,-31.498839321136476,93,432,-72.33,43000,43200,100.0,0.27
468,0.2319530189037323,0.001,-31.95610731124878,93,436,-71.89,43400,43600,100.0,0.27
472,0.2281374192237854,0.001,-31.530822715759278,93,440,-68.98,43800,44000,100.0,0.3
476,0.2156415094435215,0.001,-31.40538003921509,93,444,-68.91,44200,44400,100.0,0.3
480,0.20933781877160074,0.001,-31.663992500305177,93,448,-67.5,44600,44800,100.0,0.32
485,0.20360519669950009,0.001,-31.710590744018553,93,452,-65.52,45000,45200,100.0,0.34
489,0.2370794467628002,0.001,-31.36110830307007,93,456,-64.49,45400,45600,100.0,0.35
493,0.20868832036852836,0.001,-31.44351100921631,93,460,-64.75,45800,46000,100.0,0.34
497,0.1787243140488863,0.001,-31.29706048965454,93,464,-63.68,46200,46400,100.0,0.35
502,0.2117304976284504,0.001,-30.832056827545166,93,468,-62.27,46600,46800,100.0,0.37
506,0.18321217127144337,0.001,-30.52329496383667,93,472,-60.61,47000,47200,100.0,0.38
510,0.15590141236782074,0.001,-30.67287183761597,93,476,-59.68,47400,47600,100.0,0.39
514,0.18245194174349308,0.001,-30.43206329345703,93,480,-59.61,47800,48000,100.0,0.39
518,0.15331219166517257,0.001,-30.173480186462402,93,484,-56.71,48200,48400,100.0,0.42
523,0.19190962702035905,0.001,-30.01168218612671,93,488,-56.29,48600,48800,100.0,0.42
527,0.1483829156309366,0.001,-30.076031112670897,93,492,-55.25,49000,49200,100.0,0.43
531,0.16381034016609192,0.001,-30.02608112335205,93,496,-54.89,49400,49600,100.0,0.43
535,0.18334834448993206,0.001,-29.351290779113768,93,500,-52.94,49800,50000,100.0,0.45
540,0.138037853166461,0.001,-29.52102746963501,93,504,-52.46,50200,50400,100.0,0.46
544,0.15734567530453206,0.001,-29.11010820388794,93,508,-50.48,50600,50800,100.0,0.48
548,0.15159500911831855,0.001,-28.940042839050292,93,512,-49.05,51000,51200,100.0,0.5
552,0.16386575512588025,0.001,-28.99535120010376,93,516,-48.04,51400,51600,100.0,0.51
556,0.17185188919305802,0.001,-28.863227710723876,93,520,-47.34,51800,52000,100.0,0.51
561,0.12171671360731125,0.001,-28.58756893157959,93,524,-45.0,52200,52400,100.0,0.54
565,0.14188040725886822,0.001,-28.4341428565979,93,528,-41.15,52600,52800,100.0,0.58
569,0.12266609601676465,0.001,-28.30995346069336,93,532,-39.62,53000,53200,100.0,0.6
573,0.14747567228972913,0.001,-28.087130432128905,93,536,-37.33,53400,53600,100.0,0.62
577,0.1496344594657421,0.001,-28.106028022766115,93,540,-36.37,53800,54000,100.0,0.63
582,0.165810307264328,0.001,-27.864171180725098,93,544,-35.46,54200,54400,100.0,0.64
586,0.14399374186992644,0.001,-27.644787788391113,93,548,-34.48,54600,54800,100.0,0.65
590,0.13909884445369244,0.001,-27.64828151702881,93,552,-33.05,55000,55200,100.0,0.66
594,0.13845250010490417,0.001,-27.512163200378417,93,556,-31.65,55400,55600,100.0,0.67
598,0.12543952628970145,0.001,-27.35557390213013,93,560,-28.47,55800,56000,100.0,0.71
603,0.1415916881710291,0.001,-27.25763072967529,93,564,-26.54,56200,56400,100.0,0.73
607,0.1127627894282341,0.001,-27.26374485015869,93,568,-25.54,56600,56800,100.0,0.73
611,0.16722307540476322,0.001,-27.16319091796875,93,572,-25.29,57000,57200,100.0,0.74
615,0.14463215984404088,0.001,-27.196347675323487,93,576,-23.82,57400,57600,100.0,0.76
620,0.14181843966245652,0.001,-27.265546283721925,93,580,-21.98,57800,58000,100.0,0.77
624,0.15241959013044834,0.001,-27.154707374572755,93,584,-23.07,58200,58400,100.0,0.75
628,0.12970066271722316,0.001,-27.196930351257325,93,588,-20.58,58600,58800,100.0,0.78
632,0.1352463935315609,0.001,-27.14630609512329,93,592,-19.8,59000,59200,100.0,0.78
636,0.13222949162125588,0.001,-26.59188808441162,93,596,-18.69,59400,59600,100.0,0.8
641,0.14044540651142598,0.001,-26.37597644805908,93,600,-18.66,59800,60000,100.0,0.8
645,0.12802810218185187,0.001,-26.110962905883788,93,604,-17.67,60200,60400,100.0,0.81
649,0.13197090227156877,0.001,-26.414144973754883,93,608,-18.18,60600,60800,100.0,0.81
653,0.12712262224406004,0.001,-26.342455558776855,93,612,-17.67,61000,61200,100.0,0.81
657,0.11390310224145651,0.001,-26.27952480316162,93,616,-18.02,61400,61600,100.0,0.81
662,0.12243865113705396,0.001,-25.968200225830078,93,620,-17.24,61800,62000,100.0,0.83
666,0.11802397772669793,0.001,-25.619995498657225,93,624,-16.97,62200,62400,100.0,0.83
670,0.11695508625358343,0.001,-25.738615951538087,93,628,-17.53,62600,62800,100.0,0.83
674,0.11322641290724278,0.001,-25.776543312072754,93,632,-16.08,63000,63200,100.0,0.84
678,0.11570438347756863,0.001,-25.47797519683838,93,636,-16.16,63400,63600,100.0,0.84
682,0.10158722829073667,0.001,-25.602867012023925,93,640,-16.18,63800,64000,100.0,0.84
687,0.09265967518091202,0.001,-25.510320682525634,93,644,-14.32,64200,64400,100.0,0.86
691,0.10909123595803977,0.001,-25.485973377227783,93,648,-13.32,64600,64800,100.0,0.87
695,0.12327025156468153,0.001,-25.38862970352173,93,652,-12.9,65000,65200,100.0,0.88
699,0.11797828439623118,0.001,-25.412520790100096,93,656,-12.45,65400,65600,100.0,0.89
703,0.09892492722719907,0.001,-25.24871183395386,93,660,-12.44,65800,66000,100.0,0.89
707,0.09699838671833277,0.001,-25.45362195968628,93,664,-12.93,66200,66400,100.0,0.88
712,0.12252000212669373,0.001,-25.239560451507568,93,668,-13.39,66600,66800,100.0,0.88
716,0.09206932481378317,0.001,-25.2709468460083,93,672,-12.86,67000,67200,100.0,0.88
720,0.09735270291566848,0.001,-25.49028232574463,93,676,-14.61,67400,67600,100.0,0.86
724,0.10991444874554873,0.001,-25.632914199829102,93,680,-13.64,67800,68000,100.0,0.88
728,0.12252348594367504,0.001,-25.31625810623169,93,684,-12.55,68200,68400,100.0,0.9
733,0.11648876532912254,0.001,-25.235889854431154,93,688,-13.52,68600,68800,100.0,0.89
737,0.10012643352150917,0.001,-25.372181911468505,93,692,-12.43,69000,69200,100.0,0.91
741,0.09676244106143712,0.001,-25.188454990386962,93,696,-11.97,69400,69600,100.0,0.91
745,0.09282441612333059,0.001,-25.21751319885254,93,700,-11.97,69800,70000,100.0,0.91
749,0.13738266710191965,0.001,-25.412842502593993,93,704,-12.97,70200,70400,100.0,0.9
753,0.10213328082114458,0.001,-25.481455478668213,93,708,-12.97,70600,70800,100.0,0.89
757,0.11089640662074089,0.001,-25.412004356384276,93,712,-12.44,71000,71200,100.0,0.89
762,0.09490800227969885,0.001,-25.229713459014892,93,716,-12.08,71400,71600,100.0,0.89
766,0.09099922593683005,0.001,-25.309519996643065,93,720,-11.63,71800,72000,100.0,0.89
770,0.0917866013944149,0.001,-25.435021781921385,93,724,-11.67,72200,72400,100.0,0.89
774,0.11402384258806705,0.001,-25.179209365844727,93,728,-11.12,72600,72800,100.0,0.89
778,0.10683281179517508,0.001,-25.252730121612547,94,732,-11.12,73000,73200,100.0,0.89
782,0.08579017762094736,0.001,-25.299516315460206,94,736,-10.45,73400,73600,100.0,0.9
787,0.07997216377407312,0.001,-25.31486125946045,94,740,-11.35,73800,74000,100.0,0.89
791,0.09199271954596043,0.001,-25.491393032073976,94,744,-11.34,74200,74400,100.0,0.89
795,0.09691493224352599,0.001,-25.587705097198487,94,748,-11.84,74600,74800,100.0,0.88
799,0.1007764883711934,0.001,-25.3545774269104,94,752,-11.8,75000,75200,100.0,0.88
803,0.09135766752064228,0.001,-25.382804965972902,94,756,-13.7,75400,75600,100.0,0.86
807,0.08233624532818794,0.001,-25.329730968475342,94,760,-14.13,75800,76000,100.0,0.86
812,0.08132870085537433,0.001,-25.33524772644043,94,764,-14.09,76200,76400,100.0,0.87
816,0.09032393548637628,0.001,-25.240086879730224,94,768,-13.14,76600,76800,100.0,0.88
820,0.08219291765242814,0.001,-25.451331939697265,94,772,-13.17,77000,77200,100.0,0.88
824,0.09166990287601948,0.001,-25.40733715057373,94,776,-11.41,77400,77600,100.0,0.89
828,0.0854257945343852,0.001,-25.136831169128417,94,780,-11.87,77800,78000,100.0,0.88
833,0.07035416325554252,0.001,-25.01737018585205,94,784,-11.86,78200,78400,100.0,0.88
837,0.06938601993024349,0.001,-25.195582695007325,94,788,-10.89,78600,78800,100.0,0.89
841,0.07633761644363403,0.001,-25.21332824707031,94,792,-10.91,79000,79200,100.0,0.89
845,0.0811607276648283,0.001,-24.89174789428711,94,796,-11.38,79400,79600,100.0,0.89
849,0.0844069355353713,0.001,-24.828226947784422,94,800,-12.33,79800,80000,100.0,0.88
